time	V(in)
7.989309625115066e-004	-9.537131e-003
8.296229267972209e-004	-8.792791e-003
8.603148910829351e-004	-7.692506e-003
8.728706946543637e-004	-7.155218e-003
8.854264982257924e-004	-6.582965e-003
8.979823017972209e-004	-5.975745e-003
9.105381053686495e-004	-5.333559e-003
9.230939089400781e-004	-4.656407e-003
9.356497125115066e-004	-3.944288e-003
9.482055160829352e-004	-3.197204e-003
9.551809625115066e-004	-2.776928e-003
9.621564089400779e-004	-2.353371e-003
9.691318553686493e-004	-1.926533e-003
9.761073017972207e-004	-1.496414e-003
9.830827482257920e-004	-1.063014e-003
9.900581946543634e-004	-6.263329e-004
9.970336410829348e-004	-1.863710e-004
1.002613998225792e-003	1.653073e-004
1.008194355368649e-003	5.157102e-004
1.013774712511506e-003	8.648378e-004
1.019355069654363e-003	1.212690e-003
1.024935426797220e-003	1.559267e-003
1.030515783940077e-003	1.904568e-003
1.036096141082934e-003	2.248594e-003
1.047256855368648e-003	2.933564e-003
1.058417569654362e-003	3.596293e-003
1.069578283940076e-003	4.236782e-003
1.080738998225790e-003	4.855030e-003
1.091899712511504e-003	5.451038e-003
1.103060426797218e-003	6.024805e-003
1.114221141082932e-003	6.576331e-003
1.132357301797218e-003	7.408003e-003
1.150493462511503e-003	8.124751e-003
1.168629623225788e-003	8.726574e-003
1.186765783940074e-003	9.213474e-003
1.204901944654359e-003	9.585449e-003
1.223038105368644e-003	9.842501e-003
1.241174266082930e-003	9.984628e-003
1.260705516082929e-003	9.963089e-003
1.280236766082929e-003	9.803813e-003
1.299768016082928e-003	9.506799e-003
1.319299266082928e-003	9.072049e-003
1.338830516082928e-003	8.499561e-003
1.358361766082927e-003	7.789336e-003
1.377893016082927e-003	6.941373e-003
1.389053730368641e-003	6.412634e-003
1.400214444654355e-003	5.859524e-003
1.411375158940069e-003	5.282045e-003
1.422535873225783e-003	4.680196e-003
1.433696587511497e-003	4.053977e-003
1.444857301797211e-003	3.403389e-003
1.456018016082925e-003	2.728430e-003
1.462295917868639e-003	2.345407e-003
1.468573819654353e-003	1.960242e-003
1.474851721440068e-003	1.572936e-003
1.481129623225782e-003	1.183490e-003
1.487407525011496e-003	7.919020e-004
1.493685426797210e-003	3.981735e-004
1.499963328582924e-003	2.304133e-006
1.506241230368638e-003	-3.935690e-004
1.512519132154353e-003	-7.873082e-004
1.518797033940067e-003	-1.178914e-003
1.525074935725781e-003	-1.568385e-003
1.531352837511495e-003	-1.955723e-003
1.537630739297209e-003	-2.340927e-003
1.543908641082923e-003	-2.723997e-003
1.555766900011494e-003	-3.441695e-003
1.567625158940066e-003	-4.131194e-003
1.579483417868637e-003	-4.792493e-003
1.591341676797208e-003	-5.425594e-003
1.603199935725779e-003	-6.030495e-003
1.615058194654350e-003	-6.607196e-003
1.626916453582921e-003	-7.155699e-003
1.647145248225778e-003	-8.002509e-003
1.667374042868635e-003	-8.699272e-003
1.687602837511491e-003	-9.245989e-003
1.707831632154348e-003	-9.642658e-003
1.728060426797205e-003	-9.889281e-003
1.748289221440062e-003	-9.985858e-003
1.768518016082918e-003	-9.932388e-003
1.785956632154347e-003	-9.731704e-003
1.803395248225775e-003	-9.427121e-003
1.820833864297203e-003	-9.018638e-003
1.838272480368631e-003	-8.506256e-003
1.855711096440059e-003	-7.889975e-003
1.873149712511488e-003	-7.169794e-003
1.890588328582916e-003	-6.345714e-003
1.901051498225773e-003	-5.818020e-003
1.911514667868630e-003	-5.271336e-003
1.921977837511487e-003	-4.705664e-003
1.932441007154344e-003	-4.121002e-003
1.942904176797201e-003	-3.517352e-003
1.953367346440057e-003	-2.894712e-003
1.963830516082914e-003	-2.253084e-003
1.969410873225772e-003	-1.909092e-003
1.974991230368628e-003	-1.563818e-003
1.980571587511486e-003	-1.217264e-003
1.986151944654342e-003	-8.694287e-004
1.991732301797200e-003	-5.203123e-004
1.997312658940056e-003	-1.699149e-004
2.002893016082914e-003	1.817635e-004
2.009868462511485e-003	6.217338e-004
2.016843908940056e-003	1.058432e-003
2.023819355368627e-003	1.491857e-003
2.030794801797199e-003	1.922011e-003
2.037770248225770e-003	2.348892e-003
2.044745694654341e-003	2.772500e-003
2.051721141082913e-003	3.192837e-003
2.064276944654341e-003	3.940054e-003
2.076832748225769e-003	4.652329e-003
2.089388551797198e-003	5.329661e-003
2.101944355368626e-003	5.972050e-003
2.114500158940054e-003	6.579496e-003
2.127055962511483e-003	7.152000e-003
2.139611766082911e-003	7.689561e-003
2.171698819654338e-003	8.829717e-003
2.203785873225767e-003	9.582384e-003
2.235872926797194e-003	9.947562e-003
2.267959980368622e-003	9.925251e-003
2.300047033940050e-003	9.515451e-003
2.332134087511478e-003	8.718162e-003
2.364221141082906e-003	7.533384e-003
2.376079400011477e-003	7.014607e-003
2.387937658940048e-003	6.465037e-003
2.399795917868619e-003	5.884674e-003
2.411654176797191e-003	5.273516e-003
