Freq.	V(out)/V(in)
3.54813389233574e+002	-9.27478378667701e+000,-2.59278771249766e+000
3.98107170553495e+002	-9.41594745493166e+000,-2.34428605217402e+000
4.46683592150961e+002	-9.53117683327973e+000,-2.11297430066177e+000
5.01187233627270e+002	-9.62473551952153e+000,-1.89947594622944e+000
5.62341325190346e+002	-9.70036998359459e+000,-1.70372544933041e+000
6.30957344480190e+002	-9.76129965317813e+000,-1.52517571232339e+000
7.07945784384134e+002	-9.81024426506807e+000,-1.36296274389896e+000
7.94328234724277e+002	-9.84947131668740e+000,-1.21603103722051e+000
8.91250938133740e+002	-9.88085192869097e+000,-1.08322562499060e+000
9.99999999999994e+002	-9.90591773394868e+000,-9.63357326155998e-001
1.12201845430196e+003	-9.92591452186632e+000,-8.55247244660004e-001
1.25892541179416e+003	-9.94185047643822e+000,-7.57755691609453e-001
1.41253754462275e+003	-9.95453819172787e+000,-6.69799708729020e-001
1.58489319246110e+003	-9.96463045157532e+000,-5.90362441937329e-001
1.77827941003891e+003	-9.97265019919096e+000,-5.18496820117764e-001
1.99526231496887e+003	-9.97901532820121e+000,-4.53325352193238e-001
2.23872113856832e+003	-9.98405899107145e+000,-3.94037355197254e-001
2.51188643150956e+003	-9.98804610445507e+000,-3.39884546106726e-001
2.81838293126443e+003	-9.99118667273759e+000,-2.90175647416874e-001
3.16227766016836e+003	-9.99364647463842e+000,-2.44270449208562e-001
3.54813389233573e+003	-9.99555557703920e+000,-2.01573620524411e-001
3.98107170553494e+003	-9.99701506271769e+000,-1.61528455579368e-001
4.46683592150960e+003	-9.99810228794031e+000,-1.23610664329148e-001
5.01187233627269e+003	-9.99887492311994e+000,-8.73222636243482e-002
5.62341325190345e+003	-9.99937397484821e+000,-5.21855882307525e-002
6.30957344480189e+003	-9.99962593970683e+000,-1.77374157713638e-002
7.07945784384133e+003	-9.99964419813050e+000,1.64768171534860e-002
7.94328234724276e+003	-9.99942971886007e+000,5.09087410636444e-002
8.91250938133739e+003	-9.99897110975881e+000,8.60127613033144e-002
9.99999999999992e+003	-9.99824401753175e+000,1.22251788928524e-001
1.12201845430195e+004	-9.99720984575539e+000,1.60103035044384e-001
1.25892541179416e+004	-9.99581372615607e+000,2.00063903847019e-001
1.41253754462274e+004	-9.99398164082813e+000,2.42658010174179e-001
1.58489319246110e+004	-9.99161655160690e+000,2.88441332127039e-001
