time	V(in)
1.917672321069935e-006	-4.931945e-003
1.930925669284221e-006	-4.199645e-003
1.944179017498506e-006	-3.441044e-003
1.957432365712791e-006	-2.656140e-003
1.970685713927077e-006	-1.844934e-003
1.983939062141362e-006	-1.007427e-003
1.995099776427076e-006	-2.993100e-004
2.006260490712789e-006	4.017648e-004
2.017421204998503e-006	1.095798e-003
2.028581919284217e-006	1.782790e-003
2.039742633569931e-006	2.462739e-003
2.050903347855644e-006	3.135648e-003
2.062064062141358e-006	3.801514e-003
2.072527231784215e-006	4.406808e-003
2.082990401427072e-006	4.987114e-003
2.093453571069929e-006	5.542432e-003
2.103916740712785e-006	6.072761e-003
2.114379910355642e-006	6.578103e-003
2.124843079998499e-006	7.058457e-003
2.135306249641355e-006	7.513822e-003
2.142979240712784e-006	7.824613e-003
2.150652231784212e-006	8.115666e-003
2.158325222855640e-006	8.386981e-003
2.165998213927069e-006	8.638557e-003
2.173671204998497e-006	8.870395e-003
2.181344196069925e-006	9.082494e-003
2.189017187141353e-006	9.274855e-003
2.196690178212781e-006	9.444903e-003
2.204363169284210e-006	9.592303e-003
2.212036160355638e-006	9.717053e-003
2.219709151427066e-006	9.819154e-003
2.227382142498494e-006	9.898606e-003
2.235055133569923e-006	9.955409e-003
2.242728124641351e-006	9.989563e-003
2.255981472855636e-006	9.989971e-003
2.269234821069922e-006	9.923660e-003
2.282488169284207e-006	9.790632e-003
2.295741517498492e-006	9.590885e-003
2.308994865712777e-006	9.324420e-003
2.322248213927062e-006	8.991237e-003
2.335501562141347e-006	8.591335e-003
2.348754910355632e-006	8.125697e-003
2.362008258569918e-006	7.613570e-003
2.375261606784203e-006	7.054955e-003
2.388514954998488e-006	6.449852e-003
2.401768303212773e-006	5.798260e-003
2.415021651427058e-006	5.100179e-003
2.428274999641343e-006	4.355610e-003
2.439435713927057e-006	3.705841e-003
2.450596428212771e-006	3.046108e-003
2.461757142498485e-006	2.376411e-003
2.472917856784199e-006	1.696750e-003
2.484078571069913e-006	1.007125e-003
2.495239285355626e-006	3.075369e-004
2.506399999641340e-006	-4.020155e-004
2.518955803212768e-006	-1.199948e-003
2.531511606784196e-006	-1.978660e-003
2.544067410355624e-006	-2.738152e-003
2.556623213927053e-006	-3.478423e-003
2.569179017498481e-006	-4.199474e-003
2.581734821069909e-006	-4.901304e-003
2.594290624641337e-006	-5.583914e-003
2.602661160355622e-006	-6.014945e-003
2.611031696069908e-006	-6.426653e-003
2.619402231784193e-006	-6.819040e-003
2.627772767498478e-006	-7.192103e-003
2.636143303212763e-006	-7.545845e-003
2.644513838927049e-006	-7.880264e-003
2.652884374641334e-006	-8.195360e-003
2.659859821069906e-006	-8.439521e-003
2.666835267498477e-006	-8.666480e-003
2.673810713927048e-006	-8.876239e-003
2.680786160355619e-006	-9.068796e-003
2.687761606784190e-006	-9.244153e-003
2.694737053212761e-006	-9.402309e-003
2.701712499641332e-006	-9.543264e-003
2.711478124641332e-006	-9.709178e-003
2.721243749641332e-006	-9.837755e-003
2.731009374641331e-006	-9.928995e-003
2.740774999641331e-006	-9.982897e-003
2.750540624641330e-006	-9.999462e-003
2.760306249641330e-006	-9.978690e-003
2.770071874641330e-006	-9.920580e-003
2.785417856784186e-006	-9.744336e-003
2.800763838927043e-006	-9.485831e-003
2.816109821069899e-006	-9.145067e-003
2.831455803212755e-006	-8.722042e-003
2.846801785355612e-006	-8.216758e-003
2.862147767498469e-006	-7.629214e-003
2.877493749641325e-006	-6.959410e-003
2.889352008569896e-006	-6.396743e-003
2.901210267498467e-006	-5.807200e-003
2.913068526427038e-006	-5.190783e-003
2.924926785355609e-006	-4.547491e-003
2.936785044284180e-006	-3.877323e-003
2.948643303212751e-006	-3.180280e-003
2.960501562141322e-006	-2.456363e-003
2.972359821069893e-006	-1.717676e-003
2.984218079998464e-006	-9.796841e-004
2.996076338927035e-006	-2.423873e-004
3.007934597855605e-006	4.942145e-004
3.019792856784177e-006	1.230121e-003
3.031651115712748e-006	1.965333e-003
3.043509374641318e-006	2.699850e-003
3.054670088927032e-006	3.375456e-003
3.065830803212746e-006	4.026817e-003
3.076991517498460e-006	4.653935e-003
3.088152231784174e-006	5.256809e-003
3.099312946069888e-006	5.835439e-003
3.110473660355601e-006	6.389825e-003
3.121634374641315e-006	6.919967e-003
3.128609821069887e-006	7.230925e-003
3.135585267498457e-006	7.526662e-003
3.142560713927029e-006	7.807178e-003
3.149536160355600e-006	8.072472e-003
3.156511606784171e-006	8.322546e-003
3.163487053212742e-006	8.557398e-003
3.170462499641313e-006	8.777030e-003
3.178135490712741e-006	8.998737e-003
3.185808481784170e-006	9.198522e-003
3.193481472855598e-006	9.376386e-003
3.201154463927026e-006	9.532328e-003
3.208827454998454e-006	9.666349e-003
3.216500446069883e-006	9.778448e-003
3.224173437141311e-006	9.868626e-003
3.235334151427025e-006	9.957131e-003
3.246494865712739e-006	9.996911e-003
3.257655579998452e-006	9.987968e-003
3.268816294284166e-006	9.930300e-003
3.279977008569880e-006	9.823907e-003
3.291137722855594e-006	9.668790e-003
3.302298437141308e-006	9.464948e-003
3.316946874641307e-006	9.117203e-003
3.331595312141307e-006	8.702722e-003
3.346243749641306e-006	8.221504e-003
3.360892187141305e-006	7.673551e-003
3.375540624641305e-006	7.058862e-003
3.390189062141304e-006	6.377437e-003
3.404837499641304e-006	5.629275e-003
3.417393303212732e-006	4.948968e-003
3.429949106784160e-006	4.249119e-003
3.442504910355588e-006	3.529728e-003
3.455060713927016e-006	2.790796e-003
3.467616517498444e-006	2.032321e-003
3.480172321069872e-006	1.254305e-003
3.492728124641300e-006	4.567464e-004
3.504586383569871e-006	-2.982554e-004
3.516444642498442e-006	-1.041485e-003
3.528302901427013e-006	-1.772943e-003
3.540161160355584e-006	-2.492630e-003
3.552019419284155e-006	-3.200544e-003
3.563877678212726e-006	-3.896686e-003
3.575735937141297e-006	-4.581057e-003
3.585501562141296e-006	-5.122052e-003
3.595267187141296e-006	-5.639169e-003
3.605032812141296e-006	-6.132408e-003
3.614798437141295e-006	-6.601769e-003
3.624564062141295e-006	-7.047252e-003
3.634329687141294e-006	-7.468857e-003
3.644095312141294e-006	-7.866583e-003
3.651070758569865e-006	-8.130597e-003
3.658046204998436e-006	-8.377903e-003
3.665021651427008e-006	-8.608501e-003
3.671997097855578e-006	-8.822391e-003
3.678972544284150e-006	-9.019572e-003
3.685947990712721e-006	-9.200046e-003
3.692923437141292e-006	-9.363811e-003
3.701293972855577e-006	-9.536089e-003
3.709664508569863e-006	-9.681214e-003
3.718035044284148e-006	-9.799186e-003
3.726405579998433e-006	-9.890005e-003
3.734776115712719e-006	-9.953671e-003
3.743146651427004e-006	-9.990185e-003
3.751517187141290e-006	-9.999545e-003
3.764770535355575e-006	-9.953228e-003
3.778023883569860e-006	-9.841218e-003
3.791277231784145e-006	-9.663515e-003
3.804530579998430e-006	-9.420119e-003
3.817783928212716e-006	-9.111031e-003
3.831037276427001e-006	-8.736250e-003
3.844290624641286e-006	-8.295776e-003
3.856846428212714e-006	-7.820877e-003
3.869402231784142e-006	-7.306069e-003
3.881958035355570e-006	-6.751352e-003
3.894513838926998e-006	-6.156725e-003
3.907069642498426e-006	-5.522189e-003
3.919625446069854e-006	-4.847743e-003
3.932181249641282e-006	-4.133388e-003
3.943341963926996e-006	-3.476819e-003
3.954502678212710e-006	-2.811463e-003
3.965663392498424e-006	-2.137321e-003
3.976824106784137e-006	-1.454393e-003
3.987984821069851e-006	-7.626786e-004
3.999145535355565e-006	-6.217820e-005
4.010306249641279e-006	6.471083e-004
4.022862053212707e-006	1.443177e-003
4.035417856784135e-006	2.218591e-003
4.047973660355563e-006	2.973348e-003
4.060529463926991e-006	3.707450e-003
4.073085267498420e-006	4.420896e-003
4.085641071069847e-006	5.113686e-003
4.098196874641275e-006	5.785821e-003
4.106567410355561e-006	6.209175e-003
4.114937946069846e-006	6.612731e-003
4.123308481784131e-006	6.996487e-003
4.131679017498417e-006	7.360444e-003
4.140049553212703e-006	7.704602e-003
4.148420088926988e-006	8.028961e-003
4.156790624641273e-006	8.333520e-003
4.164463615712702e-006	8.591403e-003
4.172136606784129e-006	8.828092e-003
4.179809597855558e-006	9.043587e-003
4.187482588926986e-006	9.237887e-003
4.195155579998415e-006	9.410992e-003
4.202828571069842e-006	9.562904e-003
4.210501562141271e-006	9.693621e-003
4.220964731784127e-006	9.834388e-003
4.231427901426984e-006	9.932159e-003
4.241891071069841e-006	9.986935e-003
4.252354240712698e-006	9.998715e-003
4.262817410355554e-006	9.967500e-003
4.273280579998412e-006	9.893289e-003
4.283743749641268e-006	9.776082e-003
4.299089731784124e-006	9.517304e-003
4.314435713926981e-006	9.180097e-003
4.329781696069837e-006	8.764462e-003
4.345127678212694e-006	8.270399e-003
4.360473660355550e-006	7.697907e-003
4.375819642498407e-006	7.046987e-003
4.391165624641264e-006	6.317638e-003
4.404418972855549e-006	5.637943e-003
4.417672321069834e-006	4.931945e-003
4.430925669284119e-006	4.199645e-003
4.444179017498405e-006	3.441044e-003
4.457432365712690e-006	2.656140e-003
4.470685713926975e-006	1.844934e-003
4.483939062141260e-006	1.007427e-003
4.495099776426974e-006	2.993100e-004
4.506260490712688e-006	-4.017648e-004
4.517421204998402e-006	-1.095798e-003
4.528581919284115e-006	-1.782790e-003
4.539742633569829e-006	-2.462739e-003
4.550903347855543e-006	-3.135648e-003
4.562064062141257e-006	-3.801514e-003
4.572527231784113e-006	-4.406808e-003
4.582990401426970e-006	-4.987114e-003
4.593453571069826e-006	-5.542432e-003
4.603916740712684e-006	-6.072761e-003
4.614379910355540e-006	-6.578103e-003
4.624843079998397e-006	-7.058457e-003
4.635306249641254e-006	-7.513822e-003
4.642979240712682e-006	-7.824613e-003
4.650652231784110e-006	-8.115666e-003
4.658325222855538e-006	-8.386981e-003
4.665998213926967e-006	-8.638557e-003
4.673671204998395e-006	-8.870395e-003
4.681344196069823e-006	-9.082494e-003
4.689017187141251e-006	-9.274855e-003
4.696690178212680e-006	-9.444903e-003
4.704363169284108e-006	-9.592303e-003
4.712036160355536e-006	-9.717053e-003
4.719709151426965e-006	-9.819154e-003
4.727382142498393e-006	-9.898606e-003
4.735055133569821e-006	-9.955409e-003
4.742728124641249e-006	-9.989563e-003
4.755981472855534e-006	-9.989971e-003
4.769234821069819e-006	-9.923660e-003
4.782488169284104e-006	-9.790632e-003
4.795741517498390e-006	-9.590885e-003
4.808994865712675e-006	-9.324420e-003
4.822248213926960e-006	-8.991237e-003
4.835501562141245e-006	-8.591335e-003
4.845964731784102e-006	-8.231822e-003
4.856427901426959e-006	-7.841356e-003
4.866891071069815e-006	-7.419939e-003
4.877354240712673e-006	-6.967569e-003
4.887817410355529e-006	-6.484246e-003
4.898280579998386e-006	-5.969972e-003
4.908743749641242e-006	-5.424745e-003
4.913626562141242e-006	-5.164502e-003
4.924787276426956e-006	-4.543684e-003
4.935947990712670e-006	-3.908545e-003
4.947108704998384e-006	-3.259085e-003
4.958269419284097e-006	-2.595303e-003
4.969430133569811e-006	-1.917201e-003
4.980590847855525e-006	-1.224777e-003
4.991751562141239e-006	-5.180326e-004
4.996634374641239e-006	-2.114527e-004
5.000000000000000e-006	-1.224647e-017
